Timestamp,Current (A),Voltage (V),Power Usage (kWh),On/Off
2023-01-01 00:00:00,0.55,217.65,0.12,1
2023-01-01 01:00:00,0.56,219.94,0.124,1
2023-01-01 02:00:00,0.39,235.16,0.091,1
2023-01-01 03:00:00,0.56,234.47,0.131,1
2023-01-01 04:00:00,0.0,0.0,0.0,0
2023-01-01 05:00:00,0.47,239.83,0.113,1
2023-01-01 06:00:00,0.5,239.43,0.12,1
2023-01-01 07:00:00,0.0,0.0,0.0,0
2023-01-01 08:00:00,0.0,0.0,0.0,0
2023-01-01 09:00:00,0.52,211.02,0.109,1
2023-01-01 10:00:00,0.0,0.0,0.0,0
2023-01-01 11:00:00,0.0,0.0,0.0,0
2023-01-01 12:00:00,0.35,236.14,0.083,1
2023-01-01 13:00:00,0.0,0.0,0.0,0
2023-01-01 14:00:00,0.5,223.93,0.113,1
2023-01-01 15:00:00,0.53,239.4,0.128,1
2023-01-01 16:00:00,0.46,217.63,0.101,1
2023-01-01 17:00:00,0.52,238.67,0.123,1
2023-01-01 18:00:00,0.0,0.0,0.0,0
2023-01-01 19:00:00,0.36,234.94,0.085,1
2023-01-01 20:00:00,0.5,223.62,0.112,1
2023-01-01 21:00:00,0.0,0.0,0.0,0
2023-01-01 22:00:00,0.53,226.83,0.12,1
2023-01-01 23:00:00,0.37,237.5,0.087,1
2023-01-02 00:00:00,0.56,217.92,0.122,1
2023-01-02 01:00:00,0.0,0.0,0.0,0
2023-01-02 02:00:00,0.48,220.9,0.105,1
2023-01-02 03:00:00,0.53,218.97,0.117,1
2023-01-02 04:00:00,0.47,228.8,0.108,1
2023-01-02 05:00:00,0.5,237.59,0.118,1
2023-01-02 06:00:00,0.0,0.0,0.0,0
2023-01-02 07:00:00,0.0,0.0,0.0,0
2023-01-02 08:00:00,0.0,0.0,0.0,0
2023-01-02 09:00:00,0.0,0.0,0.0,0
2023-01-02 10:00:00,0.41,216.24,0.089,1
2023-01-02 11:00:00,0.0,0.0,0.0,0
2023-01-02 12:00:00,0.0,0.0,0.0,0
2023-01-02 13:00:00,0.42,215.32,0.09,1
2023-01-02 14:00:00,0.33,223.29,0.073,1
2023-01-02 15:00:00,0.57,232.42,0.133,1
2023-01-02 16:00:00,0.42,222.05,0.094,1
2023-01-02 17:00:00,0.57,220.28,0.126,1
2023-01-02 18:00:00,0.5,222.21,0.112,1
2023-01-02 19:00:00,0.46,217.0,0.099,1
2023-01-02 20:00:00,0.51,220.08,0.113,1
2023-01-02 21:00:00,0.33,221.33,0.073,1
2023-01-02 22:00:00,0.35,222.01,0.078,1
2023-01-02 23:00:00,0.37,234.55,0.086,1
2023-01-03 00:00:00,0.0,0.0,0.0,0
2023-01-03 01:00:00,0.0,0.0,0.0,0
2023-01-03 02:00:00,0.5,210.64,0.106,1
2023-01-03 03:00:00,0.0,0.0,0.0,0
2023-01-03 04:00:00,0.0,0.0,0.0,0
2023-01-03 05:00:00,0.42,217.19,0.09,1
2023-01-03 06:00:00,0.0,0.0,0.0,0
2023-01-03 07:00:00,0.59,212.97,0.125,1
2023-01-03 08:00:00,0.36,220.18,0.079,1
2023-01-03 09:00:00,0.55,229.71,0.126,1
2023-01-03 10:00:00,0.5,217.76,0.108,1
2023-01-03 11:00:00,0.0,0.0,0.0,0
2023-01-03 12:00:00,0.54,224.56,0.121,1
2023-01-03 13:00:00,0.0,0.0,0.0,0
2023-01-03 14:00:00,0.0,0.0,0.0,0
2023-01-03 15:00:00,0.0,0.0,0.0,0
2023-01-03 16:00:00,0.46,220.17,0.102,1
2023-01-03 17:00:00,0.0,0.0,0.0,0
2023-01-03 18:00:00,0.57,237.76,0.137,1
2023-01-03 19:00:00,0.46,223.34,0.103,1
2023-01-03 20:00:00,0.0,0.0,0.0,0
2023-01-03 21:00:00,0.0,0.0,0.0,0
2023-01-03 22:00:00,0.0,0.0,0.0,0
2023-01-03 23:00:00,0.35,216.13,0.076,1
2023-01-04 00:00:00,0.42,217.28,0.091,1
2023-01-04 01:00:00,0.48,214.66,0.104,1
2023-01-04 02:00:00,0.0,0.0,0.0,0
2023-01-04 03:00:00,0.0,0.0,0.0,0
2023-01-04 04:00:00,0.42,224.24,0.094,1
2023-01-04 05:00:00,0.0,0.0,0.0,0
2023-01-04 06:00:00,0.0,0.0,0.0,0
2023-01-04 07:00:00,0.0,0.0,0.0,0
2023-01-04 08:00:00,0.0,0.0,0.0,0
2023-01-04 09:00:00,0.0,0.0,0.0,0
2023-01-04 10:00:00,0.55,235.84,0.131,1
2023-01-04 11:00:00,0.0,0.0,0.0,0
2023-01-04 12:00:00,0.0,0.0,0.0,0
2023-01-04 13:00:00,0.0,0.0,0.0,0
2023-01-04 14:00:00,0.0,0.0,0.0,0
2023-01-04 15:00:00,0.0,0.0,0.0,0
2023-01-04 16:00:00,0.0,0.0,0.0,0
2023-01-04 17:00:00,0.36,217.83,0.078,1
2023-01-04 18:00:00,0.0,0.0,0.0,0
2023-01-04 19:00:00,0.35,234.12,0.083,1
2023-01-04 20:00:00,0.57,216.3,0.123,1
2023-01-04 21:00:00,0.0,0.0,0.0,0
2023-01-04 22:00:00,0.49,231.49,0.114,1
2023-01-04 23:00:00,0.6,218.39,0.13,1
2023-01-05 00:00:00,0.48,228.27,0.108,1
2023-01-05 01:00:00,0.44,236.31,0.104,1
2023-01-05 02:00:00,0.0,0.0,0.0,0
2023-01-05 03:00:00,0.0,0.0,0.0,0
2023-01-05 04:00:00,0.42,234.47,0.099,1
2023-01-05 05:00:00,0.0,0.0,0.0,0
2023-01-05 06:00:00,0.36,226.83,0.082,1
2023-01-05 07:00:00,0.0,0.0,0.0,0
2023-01-05 08:00:00,0.53,228.24,0.12,1
2023-01-05 09:00:00,0.49,217.2,0.106,1
2023-01-05 10:00:00,0.0,0.0,0.0,0
2023-01-05 11:00:00,0.51,218.59,0.112,1
2023-01-05 12:00:00,0.0,0.0,0.0,0
2023-01-05 13:00:00,0.0,0.0,0.0,0
2023-01-05 14:00:00,0.5,235.77,0.117,1
2023-01-05 15:00:00,0.36,235.35,0.085,1
2023-01-05 16:00:00,0.58,218.91,0.128,1
2023-01-05 17:00:00,0.32,237.95,0.077,1
2023-01-05 18:00:00,0.3,216.93,0.066,1
2023-01-05 19:00:00,0.53,228.64,0.121,1
2023-01-05 20:00:00,0.53,214.99,0.114,1
2023-01-05 21:00:00,0.0,0.0,0.0,0
2023-01-05 22:00:00,0.36,226.81,0.081,1
2023-01-05 23:00:00,0.34,224.57,0.077,1
2023-01-06 00:00:00,0.0,0.0,0.0,0
2023-01-06 01:00:00,0.33,235.44,0.078,1
2023-01-06 02:00:00,0.47,217.42,0.103,1
2023-01-06 03:00:00,0.5,223.46,0.112,1
2023-01-06 04:00:00,0.0,0.0,0.0,0
2023-01-06 05:00:00,0.32,215.02,0.07,1
2023-01-06 06:00:00,0.0,0.0,0.0,0
2023-01-06 07:00:00,0.35,239.43,0.085,1
2023-01-06 08:00:00,0.56,232.48,0.13,1
2023-01-06 09:00:00,0.41,215.02,0.088,1
2023-01-06 10:00:00,0.0,0.0,0.0,0
2023-01-06 11:00:00,0.0,0.0,0.0,0
2023-01-06 12:00:00,0.49,220.08,0.107,1
2023-01-06 13:00:00,0.4,229.82,0.092,1
2023-01-06 14:00:00,0.54,222.31,0.121,1
2023-01-06 15:00:00,0.58,237.99,0.138,1
2023-01-06 16:00:00,0.36,212.32,0.076,1
2023-01-06 17:00:00,0.38,216.33,0.083,1
2023-01-06 18:00:00,0.34,227.19,0.078,1
2023-01-06 19:00:00,0.41,233.39,0.096,1
2023-01-06 20:00:00,0.0,0.0,0.0,0
2023-01-06 21:00:00,0.4,215.42,0.087,1
2023-01-06 22:00:00,0.0,0.0,0.0,0
2023-01-06 23:00:00,0.52,210.28,0.11,1
2023-01-07 00:00:00,0.59,236.08,0.139,1
2023-01-07 01:00:00,0.52,219.18,0.114,1
2023-01-07 02:00:00,0.31,218.88,0.067,1
2023-01-07 03:00:00,0.43,212.59,0.091,1
2023-01-07 04:00:00,0.0,0.0,0.0,0
2023-01-07 05:00:00,0.0,0.0,0.0,0
2023-01-07 06:00:00,0.54,213.18,0.115,1
2023-01-07 07:00:00,0.46,230.01,0.105,1
2023-01-07 08:00:00,0.0,0.0,0.0,0
2023-01-07 09:00:00,0.0,0.0,0.0,0
2023-01-07 10:00:00,0.49,228.52,0.113,1
2023-01-07 11:00:00,0.59,214.0,0.127,1
2023-01-07 12:00:00,0.56,219.86,0.124,1
2023-01-07 13:00:00,0.42,234.67,0.1,1
2023-01-07 14:00:00,0.53,230.25,0.121,1
2023-01-07 15:00:00,0.53,217.56,0.114,1
2023-01-07 16:00:00,0.41,224.58,0.092,1
2023-01-07 17:00:00,0.0,0.0,0.0,0
2023-01-07 18:00:00,0.4,239.1,0.096,1
2023-01-07 19:00:00,0.45,227.78,0.102,1
2023-01-07 20:00:00,0.56,217.82,0.122,1
2023-01-07 21:00:00,0.5,229.51,0.115,1
2023-01-07 22:00:00,0.38,221.25,0.085,1
2023-01-07 23:00:00,0.42,225.39,0.094,1
2023-01-08 00:00:00,0.53,235.05,0.125,1
2023-01-08 01:00:00,0.51,212.74,0.109,1
2023-01-08 02:00:00,0.0,0.0,0.0,0
2023-01-08 03:00:00,0.35,236.39,0.083,1
2023-01-08 04:00:00,0.33,216.98,0.071,1
2023-01-08 05:00:00,0.0,0.0,0.0,0
2023-01-08 06:00:00,0.0,0.0,0.0,0
2023-01-08 07:00:00,0.45,226.41,0.102,1
2023-01-08 08:00:00,0.48,225.59,0.108,1
2023-01-08 09:00:00,0.4,235.31,0.093,1
2023-01-08 10:00:00,0.48,220.7,0.105,1
2023-01-08 11:00:00,0.0,0.0,0.0,0
2023-01-08 12:00:00,0.0,0.0,0.0,0
2023-01-08 13:00:00,0.52,210.13,0.109,1
2023-01-08 14:00:00,0.43,213.41,0.091,1
2023-01-08 15:00:00,0.38,235.51,0.09,1
2023-01-08 16:00:00,0.0,0.0,0.0,0
2023-01-08 17:00:00,0.0,0.0,0.0,0
2023-01-08 18:00:00,0.0,0.0,0.0,0
2023-01-08 19:00:00,0.4,238.47,0.096,1
2023-01-08 20:00:00,0.54,215.76,0.117,1
2023-01-08 21:00:00,0.0,0.0,0.0,0
2023-01-08 22:00:00,0.0,0.0,0.0,0
2023-01-08 23:00:00,0.4,237.08,0.094,1
2023-01-09 00:00:00,0.0,0.0,0.0,0
2023-01-09 01:00:00,0.41,239.02,0.099,1
2023-01-09 02:00:00,0.47,227.08,0.106,1
2023-01-09 03:00:00,0.0,0.0,0.0,0
2023-01-09 04:00:00,0.56,225.25,0.126,1
2023-01-09 05:00:00,0.42,227.92,0.095,1
2023-01-09 06:00:00,0.39,210.1,0.082,1
2023-01-09 07:00:00,0.44,237.51,0.104,1
2023-01-09 08:00:00,0.0,0.0,0.0,0
2023-01-09 09:00:00,0.0,0.0,0.0,0
2023-01-09 10:00:00,0.38,226.43,0.085,1
2023-01-09 11:00:00,0.55,234.17,0.129,1
2023-01-09 12:00:00,0.0,0.0,0.0,0
2023-01-09 13:00:00,0.0,0.0,0.0,0
2023-01-09 14:00:00,0.0,0.0,0.0,0
2023-01-09 15:00:00,0.51,235.91,0.12,1
2023-01-09 16:00:00,0.0,0.0,0.0,0
2023-01-09 17:00:00,0.36,228.72,0.083,1
2023-01-09 18:00:00,0.4,218.82,0.087,1
